participant,item,mass,answer,group,lang,native,Frequent,LIKERT,MINT,,,,NIVEL
1,lapices,nm,0,L2SP,SP,0,f,5,19,,,,B
1,jardines,nm,0,L2SP,SP,0,nf,3,19,,,,
1,coches,nm,0,L2SP,SP,0,f,3,19,,,,
1,paises,nm,0,L2SP,SP,0,f,5,19,,,,
1,caries,nm,0,L2SP,SP,0,nf,5,19,,,,
1,peines,nm,0,L2SP,SP,0,nf,1,19,,,,
1,fuentes,nm,0,L2SP,SP,0,nf,1,19,,,,
1,sobres,nm,0,L2SP,SP,0,nf,1,19,,,,
1,leches ,m,0,L2SP,SP,0,f,1,19,,,,
1,nubes,nm,0,L2SP,SP,0,nf,3,19,,,,
1,muertes ,m,1,L2SP,SP,0,f,3,19,,,,
1,arboles,nm,0,L2SP,SP,0,f,5,19,,,,
1,buzones,nm,0,L2SP,SP,0,nf,5,19,,,,
1,calles,nm,0,L2SP,SP,0,f,1,19,,,,
1,carnes ,m,0,L2SP,SP,0,nf,1,19,,,,
1,clases,nm,0,L2SP,SP,0,f,1,19,,,,
2,lapices,nm,1,L2SP,SP,0,f,7,18,,,,B
2,jardines,nm,0,L2SP,SP,0,nf,1,18,,,,
2,coches,nm,1,L2SP,SP,0,f,4,18,,,,
2,paises,nm,1,L2SP,SP,0,f,5,18,,,,
2,caries,nm,1,L2SP,SP,0,nf,3,18,,,,
2,peines,nm,0,L2SP,SP,0,nf,2,18,,,,
2,fuentes,nm,1,L2SP,SP,0,nf,3,18,,,,
2,sobres,nm,1,L2SP,SP,0,nf,1,18,,,,
2,leches ,m,1,L2SP,SP,0,f,5,18,,,,
2,nubes,nm,0,L2SP,SP,0,nf,1,18,,,,
2,muertes ,m,1,L2SP,SP,0,f,5,18,,,,
2,arboles,nm,1,L2SP,SP,0,f,4,18,,,,
2,buzones,nm,0,L2SP,SP,0,nf,3,18,,,,
2,calles,nm,1,L2SP,SP,0,f,7,18,,,,
2,carnes ,m,1,L2SP,SP,0,nf,2,18,,,,
2,clases,nm,1,L2SP,SP,0,f,5,18,,,,
3,lapices,nm,1,L2SP,SP,0,f,3,12,,,,B
3,jardines,nm,0,L2SP,SP,0,nf,1,12,,,,
3,coches,nm,1,L2SP,SP,0,f,4,12,,,,
3,paises,nm,0,L2SP,SP,0,f,2,12,,,,
3,caries,nm,0,L2SP,SP,0,nf,1,12,,,,
3,peines,nm,0,L2SP,SP,0,nf,1,12,,,,
3,fuentes,nm,0,L2SP,SP,0,nf,1,12,,,,
3,sobres,nm,0,L2SP,SP,0,nf,1,12,,,,
3,leches ,m,1,L2SP,SP,0,f,4,12,,,,
3,nubes,nm,0,L2SP,SP,0,nf,2,12,,,,
3,muertes ,m,1,L2SP,SP,0,f,4,12,,,,
3,arboles,nm,1,L2SP,SP,0,f,4,12,,,,
3,buzones,nm,0,L2SP,SP,0,nf,2,12,,,,
3,calles,nm,1,L2SP,SP,0,f,4,12,,,,
3,carnes ,m,0,L2SP,SP,0,nf,1,12,,,,
3,clases,nm,0,L2SP,SP,0,f,2,12,,,,
4,lapices,nm,1,L2SP,SP,0,f,5,27,,,,B
4,jardines,nm,1,L2SP,SP,0,nf,2,27,,,,
4,coches,nm,1,L2SP,SP,0,f,6,27,,,,
4,paises,nm,1,L2SP,SP,0,f,5,27,,,,
4,caries,nm,1,L2SP,SP,0,nf,2,27,,,,
4,peines,nm,1,L2SP,SP,0,nf,2,27,,,,
4,fuentes,nm,1,L2SP,SP,0,nf,3,27,,,,
4,sobres,nm,0,L2SP,SP,0,nf,2,27,,,,
4,leches ,m,1,L2SP,SP,0,f,5,27,,,,
4,nubes,nm,1,L2SP,SP,0,nf,3,27,,,,
4,muertes ,m,1,L2SP,SP,0,f,6,27,,,,
4,arboles,nm,1,L2SP,SP,0,f,6,27,,,,
4,buzones,nm,1,L2SP,SP,0,nf,3,27,,,,
4,calles,nm,1,L2SP,SP,0,f,5,27,,,,
4,carnes ,m,1,L2SP,SP,0,nf,3,27,,,,
4,clases,nm,1,L2SP,SP,0,f,5,27,,,,
5,lapices,nm,1,L2SP,SP,0,f,7,23,,,,B
5,jardines,nm,0,L2SP,SP,0,nf,3,23,,,,
5,coches,nm,1,L2SP,SP,0,f,7,23,,,,
5,paises,nm,1,L2SP,SP,0,f,7,23,,,,
5,caries,nm,1,L2SP,SP,0,nf,2,23,,,,
5,peines,nm,0,L2SP,SP,0,nf,2,23,,,,
5,fuentes,nm,0,L2SP,SP,0,nf,1,23,,,,
5,sobres,nm,0,L2SP,SP,0,nf,2,23,,,,
5,leches ,m,1,L2SP,SP,0,f,6,23,,,,
5,nubes,nm,0,L2SP,SP,0,nf,4,23,,,,
5,muertes ,m,1,L2SP,SP,0,f,7,23,,,,
5,arboles,nm,1,L2SP,SP,0,f,7,23,,,,
